pincode,avail,city,fmin,fmax,smin,smax
110001,1,Delhi,5,8,10,13
125113,1,Barwala,6,9,11,14
142042,1,Moga,7,8,13,14
148023,1,Malerkotla,4,8,10,14
174321,1,Bangana,4,8,10,14
184203,1,Billawar,4,7,10,13
209312,1,Pukhrayan,4,8,10,14
224149,1,Jalalpur,6,9,11,14
233002,1,Ghazipur,6,9,11,14
249124,1,Tehri,4,8,10,14
272165,1,Sikriganj,4,8,10,14
285128,1,Jalaun,4,7,10,13
311802,1,Bhilwara,4,6,10,12
331518,1,Sujangarh,4,6,10,12
360410,1,Dhoraji,5,9,11,15
380062,1,Ahmedabad,6,8,12,14
388210,1,Umreth,6,8,12,14
395011,1,Surat,5,8,11,15
402308,1,Mangaon,10,11,16,18
413221,1,Mandrup,6,9,12,16
416022,1,Kolhapur,6,9,12,16
424304,1,Sakri,5,9,11,16
441804,1,Bhandara,6,9,12,16
456005,1,Ujjain,4,6,10,12
472337,1,Prithvipur,6,9,12,15
487337,1,Gadarwara,4,8,10,14
500032,1,Hyderabad,5,8,11,14
505331,1,Metpally,7,9,13,15
515303,1,Madakasira,6,9,12,15
518674,1,Nandyal,6,9,12,15
524344,1,Nellore,6,9,12,15
534222,1,Tanuku,7,9,13,15
563161,1,Mulbagal,6,9,12,15
574229,1,Kadaba,7,9,13,16
581119,1,Ukkadagatri,6,9,12,15
586111,1,Indi,6,9,12,15
600124,1,Chennai,5,9,11,15
609305,1,Mayiladuthurai,5,9,11,15
621213,1,Musiri,5,9,11,15
625534,1,Theni,7,11,13,17
628801,1,Eral,6,9,12,15
635301,1,Dharmapuri,5,9,11,15
641015,1,Coimbatore,6,9,12,15
673005,1,Kozhikode,6,9,12,15
679563,1,Guruvayoor,7,11,13,17
683583,1,Muvattupuzha,6,9,12,15
689544,1,Kozhenchery,10,11,16,17
695122,1,Neyyattinkara,7,11,13,17
712147,1,Pandua,5,8,11,14
721514,1,Jhargram,6,8,12,14
735217,1,Kalchini,6,9,12,15
743456,1,Minakhan,5,8,11,14
756038,1,Dehurda,5,8,11,14
762100,1,G. Udayagiri,5,9,11,15
781150,1,Guwahati,8,12,14,18
785667,1,Sivasagar,6,9,12,15
797004,1,Kohima,7,11,13,17
812002,1,Bhagalpur,6,9,12,15
829125,1,Patratu,5,8,11,14
844126,1,Hazrat Jandaha,5,8,11,14
