pincode,city,state,region,fast_min,fast_max,std_min,std_max
110049,Delhi,Delhi (UT),North,5,8,10,13
110117,Delhi,Delhi (UT),North,3,5,9,11
110121,Delhi,Delhi (UT),North,3,5,9,11
110506,Delhi,Delhi (UT),North,3,5,9,11
110608,Delhi,Delhi (UT),North,3,5,9,11
122098,Gurgaon,Haryana,North,4,6,10,12
122101,Gurgaon,Haryana,North,3,6,9,12
122225,Gurgaon,Haryana,North,3,5,9,11
123031,Mahendragarh-HR,Haryana,North,4,8,10,14
123034,Rewari,Haryana,North,6,9,11,14
125033,Hansi,Haryana,North,6,9,10,14
131001,Sonipat,Haryana,North,6,9,10,14
131304,Gohana,Haryana,North,6,9,10,14
132101,Panipat,Haryana,North,6,9,10,14
132117,Karnal,Haryana,North,6,9,10,14
134104,Pinjore,Haryana,North,5,8,11,14
134113,Chandigarh,Haryana,North,3,6,9,12
136042,Kaithal,Haryana,North,6,9,10,14
140105,Zirakpur,Punjab,North,4,7,10,13
140118,Anandpur Sahib,Punjab,North,4,8,10,14
140401,Rajpura,Punjab,North,6,9,11,14
140412,Sirhind-Fategarh,Punjab,North,6,9,11,14
140601,Rajpura,Punjab,North,4,8,10,14
141011,Ludhiana,Punjab,North,5,7,9,13
141015,Ludhiana,Punjab,North,3,6,9,12
142055,Bhadaur,Punjab,North,6,9,10,14
143115,Tarn Taran Sahib,Punjab,North,6,9,11,14
143201,Kapurthala,Punjab,North,5,8,11,14
143515,Sri Hargobindpur,Punjab,North,7,8,13,14
143526,Gurdaspur,Punjab,North,6,9,10,14
144041,Nakodar,Punjab,North,6,9,10,14
144311,Phagwara,Punjab,North,4,6,10,12
144703,Dharamkot,Punjab,North,5,8,11,14
147004,Patiala,Punjab,North,4,6,10,12
147201,Nabha,Punjab,North,4,8,10,14
148017,Dhuri,Punjab,North,3,5,9,11
151006,Bathinda,Punjab,North,4,7,10,13
151211,Mandi Dabwali,Punjab,North,4,6,10,12
151504,Jhunir,Punjab,North,6,9,10,14
160011,Chandigarh,Chandigarh (UT),North,3,6,9,12
160036,Chandigarh,Chandigarh (UT),North,3,6,9,12
160053,Chandigarh,Chandigarh (UT),North,5,7,10,13
160059,Chandigarh,Chandigarh (UT),North,6,9,10,14
160071,Chandigarh,Chandigarh (UT),North,6,9,10,14
171019,Shimla,Himachal Pradesh,North,4,6,10,13
171220,Theog,Himachal Pradesh,North,4,8,10,14
172021,Nankhari,Himachal Pradesh,North,6,8,12,15
172101,Jeori,Himachal Pradesh,North,5,8,11,14
174029,Ghumarwin,Himachal Pradesh,North,4,8,10,14
174302,Una-HP,Himachal Pradesh,North,5,8,11,14
174405,Bhota,Himachal Pradesh,North,4,6,10,13
175012,Joginder Nagar,Himachal Pradesh,North,5,8,11,14
175126,Kullu,Himachal Pradesh,North,6,9,11,14
176076,Kachhera,Himachal Pradesh,North,5,7,11,13
