pincode,city_in,state,city_api,serviceable,fast_min,fast_max,std_min,std_max,error
110001,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110002,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110003,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110004,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110005,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110006,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110007,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110008,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110009,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110010,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110011,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110012,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110013,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110014,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110015,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110016,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110017,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110018,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110019,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110020,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110021,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110022,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110023,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110024,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110025,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110026,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110027,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110028,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110029,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110030,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110031,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110032,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110033,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110034,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110035,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110036,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110037,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110038,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110040,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110041,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110042,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110043,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110044,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110045,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110039,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110046,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110047,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110048,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110049,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110050,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110051,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110052,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110053,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110054,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110055,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110056,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110057,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110058,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110059,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110060,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110061,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110062,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110063,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110064,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110065,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110066,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110067,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110068,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110069,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110070,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110071,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110072,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110073,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110074,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110075,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110076,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110077,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110078,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110079,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110080,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110081,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110082,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110083,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110084,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110085,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110086,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110087,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110089,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110090,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110091,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110092,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110093,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110088,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110094,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110095,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110096,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110097,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110098,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110099,Delhi,Delhi (UT),Delhi,Yes,4,7,9,12,
110100,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110101,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110102,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110103,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110104,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110105,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110106,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110107,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110108,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110109,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110110,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110112,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110113,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110114,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110116,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110115,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110117,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110118,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110119,Delhi,Delhi (UT),Delhi,Yes,3,6,8,11,
110120,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110121,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110124,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110125,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110301,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110401,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110403,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110501,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110502,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110503,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110504,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110505,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110506,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110507,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110508,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110509,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110510,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110512,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110601,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110602,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110603,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110604,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110605,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110606,Delhi,Delhi (UT),Delhi,Yes,4,6,9,11,
110607,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110608,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
110609,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
111112,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
111120,Delhi,Delhi (UT),Delhi,Yes,3,5,8,10,
121000,Faridabad,Haryana,Faridabad,Yes,3,5,8,10,
121001,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121002,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121003,Faridabad,Haryana,Faridabad,Yes,4,6,9,11,
121004,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121005,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121006,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121007,Faridabad,Haryana,Faridabad,Yes,4,6,9,11,
121008,Faridabad,Haryana,Faridabad,Yes,4,6,9,11,
121009,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121010,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121012,Faridabad,Haryana,Faridabad,Yes,4,6,9,11,
121013,Faridabad,Haryana,Faridabad,Yes,4,7,9,12,
121014,Faridabad,Haryana,Faridabad,Yes,4,6,9,11,
121015,Faridabad,Haryana,Faridabad,Yes,5,6,10,11,
121101,Faridabad,Haryana,Faridabad,Yes,4,6,9,11,
121105,Palwal,Haryana,Palwal,Yes,5,8,10,13,
121106,Hodal,Haryana,Hodal,Yes,4,8,9,13,
121107,Hodal,Haryana,Hodal,Yes,4,8,9,13,
122000,Gurgaon,Haryana,Gurgaon,Yes,3,6,8,11,
122001,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122002,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
121102,Palwal,Haryana,Palwal,Yes,5,8,10,13,
122004,Gurgaon,Haryana,Gurgaon,Yes,3,6,8,11,
122003,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122005,Gurgaon,Haryana,Gurgaon,Yes,4,6,9,11,
122006,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122007,Gurgaon,Haryana,Gurgaon,Yes,4,6,9,11,
122008,Gurgaon,Haryana,Gurgaon,Yes,4,6,9,11,
122009,Gurgaon,Haryana,Gurgaon,Yes,4,6,9,11,
122010,Gurgaon,Haryana,Gurgaon,Yes,4,6,9,11,
122011,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122012,Gurgaon,Haryana,Gurgaon,Yes,3,5,8,10,
122013,Gurgaon,Haryana,Gurgaon,Yes,5,7,10,12,
122014,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122015,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122016,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122017,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122018,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122019,Gurgaon,Haryana,Gurgaon,Yes,3,5,8,10,
122021,Gurgaon,Haryana,Gurgaon,Yes,3,6,8,11,
122022,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
122050,Gurgaon,Haryana,Gurgaon,Yes,3,5,8,10,
122051,Gurgaon,Haryana,Gurgaon,Yes,4,7,9,12,
